ID,name,class,sub_class,posneg,ND1,ND2,ND3,ND4,ND5,ND6,HFD1,HFD2,HFD3,HFD4,HFD5,HFD6,PSP1,PSP2,PSP3,PSP4,PSP5
M115T987_2,L-Prolinamide,Azacyclic compounds,Amines,pos,26500911.92,15069603.4,14891315.85,22343648.23,15532985.95,28851739.37,30570580.08,20783938.21,19335375.65,16663598.59,49472768.58,24796537.99,23869942.69,16773015.74,31798440.24,30748764.78,26656998.85
M164T298,S-Methyl-L-methionine,Carboxylic acids and derivatives,Amines,pos,77338536.02,86029217.33,104600417.2,47035082.21,61055003.53,71999911.33,69214080.1,159305652.2,48477467.59,38921931.23,16870232.23,22006066.46,37063197.68,27707308,24614522.11,50220579.71,40631609.42
M379T230,S-Lactoylglutathione,Carbothioic S-esters,Alcohols and polyols,pos,53393925.39,64674108.87,113595343.6,28199988.49,53257627.27,34491135.23,60090502.36,74343322.73,34186948.89,51048631.66,105159275.8,34741944.7,26543240.95,28312493.42,46442928.94,35553975.87,53465851.14
M102T494,Betaine aldehyde,Organic oxides,Amines,pos,6495172.474,6152226.814,7091610.943,7397023.515,5071109.54,8520079.839,6505595.939,6713487.388,5144302.484,4888712.011,6954772.662,6390634.301,5776064.87,5864445.773,6553934.438,5862787.596,5660838.149
M130T718,3-Aminopentanedioate,Carboxylic acids and derivatives,Amines,pos,1874009969,2312824110,540746490.1,391923041.4,710723034.9,365614884.9,727512186,411740008,347924942,339944040.8,2444291095,1408012748,1683915122,345373466,2152887989,1884310953,1990463840
M161T97,N5-Methyl-L-glutamine,Carboxylic acids and derivatives,Amines,pos,41873193.47,64546825.32,39543068.28,27594126.9,39554809.08,92558847.68,73325444.28,46596914.48,61458735.68,28991938.75,14546373.52,71639171.82,62804301.29,53909073.21,70891059.12,81487791.99,48178378.56
M175T214,L-Theanine,Carboxylic acids and derivatives,Amines,pos,50173380.5,30416293.19,16791366.8,22213409.75,15697073.24,20900177.76,16045786.41,73953226.26,16382272.4,16678289.18,288073834.1,13963695.17,34399327.71,70040875.5,89980238.52,11616888.2,14179928.16
M233T163,4-(Glutamylamino) butanoate,Carboxylic acids and derivatives,Amines,pos,56442232.13,41631046.11,81971590.79,46873007.3,83326780.21,92266943.52,38972501.48,45960076.71,18907685.76,9322319.074,35871789.69,51092298.38,27078144.32,19393474.11,28223061.05,36835531.3,21876275.96
M161T75,N(6)-Methyllysine,Carboxylic acids and derivatives,Amines,pos,38014732.28,364266726.5,253452077,107236572.4,122406495.5,38053509.02,583192853.2,77039456.45,80083607.69,10513762.13,77033766.56,481229726.3,10285451.99,23529003.52,30877652.15,168426759.6,79700757
M102T65,Cadaverine,Organonitrogen compounds,Amines,pos,1088292.721,519653.7161,331275.3868,928374.2976,379697.6037,3169088.685,3347796.466,2962272.954,2680188.792,541728.2832,1374048.73,372070.5906,317278.811,990514.0155,3170147.349,2168608.662,507137.4843
M219T112,D-Lysopine,Carboxylic acids and derivatives,Amines,pos,21125165.78,27813422.2,31127801.42,20301732.61,16479559.87,66230281.31,17883111.09,37841852.7,7861116.725,10998658.14,14393435.21,7002192.484,15177365.49,9564840.577,6005034.664,6257017.716,9628550.513
M276T91,epsilon-(gamma-L-Glutamyl)-L-lysine,,,pos,72204669.75,6390887.904,9913069.438,31302844.14,92213605.69,140891478.1,191095426,41909222.76,40643687.25,46937490.41,64461464.8,42769628.27,48521566.32,99138098.39,82577206.17,168296839.9,60984623.85
M221T360,5-Hydroxy-L-tryptophan,Azacyclic compounds,1-hydroxy-2-unsubstituted benzenoids,pos,21520332.07,12626526.66,15978673.57,11766614.27,19425877.6,23927620.62,21016287.21,23497459.13,15803318.65,8698974.784,21531698.85,19512737.31,12352407.71,19556494.04,21837569.26,18903161.58,3545265.849
M160T360,Indoleacetaldehyde,Azacyclic compounds,Carbonyl compounds,pos,17820332.74,163512184.7,117842491.7,51735440.62,55540959.48,17113459.46,265137905,35708763.45,36302538.37,19605628.67,42854658.12,217113329.2,4340470.747,10825387.3,14862297.54,78126437.74,37270159.02
M279T321,Pantetheine,Carboxylic acids and derivatives,Alcohols and polyols,pos,135090794.1,87036306.38,97202929.72,52175558.69,65578084.29,236386350.9,133074554.2,69570330.37,64848323.55,108888567.5,275382478.4,44657746.09,81214692.54,129288133.8,81084778.3,5210075.71,105758717.6
M300T266,D-4'-Phosphopantothenate,Carboxylic acids and derivatives,Alcohols and polyols,pos,251372469.8,226705666.6,261452647.8,172692794.8,220211576.6,1360415918,1223174421,286144235.2,203119512.4,173927185.3,1592429665,1394235885,312655224.5,541670454.2,1591601196,770487013.1,158615844.2
